head,relation,tail,head_type,tail_type
60835,CMI-D,51,compound,metabolite
24360,CMI-D,24779554,compound,metabolite
24360,CMI-D,53481787,compound,metabolite
24360,CMI-D,52931207,compound,metabolite
24360,CMI-D,24779277,compound,metabolite
6234,CMI-D,446066,compound,metabolite
6234,CMI-D,24778639,compound,metabolite
6234,CMI-D,53481755,compound,metabolite
6234,CMI-D,9939965,compound,metabolite
1548953,CMI-D,5283523,compound,metabolite
1548953,CMI-D,53481755,compound,metabolite
1548953,CMI-D,131766038,compound,metabolite
46220502,CMI-D,52923950,compound,metabolite
46220502,CMI-D,24779384,compound,metabolite
46220502,CMI-D,52922252,compound,metabolite
46220502,CMI-D,24778638,compound,metabolite
46220502,CMI-D,9546747,compound,metabolite
46220502,CMI-D,131753238,compound,metabolite
46220502,CMI-D,14057128,compound,metabolite
60164,CMI-D,24779341,compound,metabolite
5282181,CMI-D,52931223,compound,metabolite
5282181,CMI-D,18631369,compound,metabolite
5282181,CMI-D,53477965,compound,metabolite
45006157,CMI-D,24779053,compound,metabolite
45006157,CMI-D,984,compound,metabolite
2157,CMI-D,5283496,compound,metabolite
2157,CMI-D,65076,compound,metabolite
2157,CMI-D,5283523,compound,metabolite
2157,CMI-D,52922252,compound,metabolite
2157,CMI-D,131750378,compound,metabolite
9807070,CMI-D,1060,compound,metabolite
9807070,CMI-D,46891802,compound,metabolite
9807070,CMI-D,984,compound,metabolite
9807070,CMI-D,44260130,compound,metabolite
9807070,CMI-D,131750358,compound,metabolite
2247,CMI-D,100981287,compound,metabolite
6918453,CMI-D,24778699,compound,metabolite
6918453,CMI-D,24779553,compound,metabolite
6918453,CMI-D,6267,compound,metabolite
6918453,CMI-D,6325610,compound,metabolite
2351,CMI-D,11146967,compound,metabolite
2351,CMI-D,750,compound,metabolite
2378,CMI-D,24778876,compound,metabolite
5328940,CMI-D,53481789,compound,metabolite
5328940,CMI-D,53479547,compound,metabolite
5328940,CMI-D,24778688,compound,metabolite
5328940,CMI-D,52923914,compound,metabolite
2435,CMI-D,545588,compound,metabolite
5281004,CMI-D,24779052,compound,metabolite
5281004,CMI-D,53479159,compound,metabolite
2478,CMI-D,131753617,compound,metabolite
47472,CMI-D,6083,compound,metabolite
2663,CMI-D,53479483,compound,metabolite
2663,CMI-D,53480990,compound,metabolite
10206,CMI-D,52926307,compound,metabolite
2722,CMI-D,52931207,compound,metabolite
2749,CMI-D,52923950,compound,metabolite
2749,CMI-D,24778639,compound,metabolite
2754,CMI-D,53479161,compound,metabolite
156419,CMI-D,750,compound,metabolite
156419,CMI-D,439286,compound,metabolite
1547484,CMI-D,51,compound,metabolite
1547484,CMI-D,984,compound,metabolite
1547484,CMI-D,25163995,compound,metabolite
1547484,CMI-D,52922210,compound,metabolite
26987,CMI-D,1198,compound,metabolite
5282493,CMI-D,10786,compound,metabolite
5282493,CMI-D,122281,compound,metabolite
5282493,CMI-D,119207,compound,metabolite
5282493,CMI-D,5789,compound,metabolite
5282493,CMI-D,83944,compound,metabolite
5282493,CMI-D,440659,compound,metabolite
2794,CMI-D,53481783,compound,metabolite
2794,CMI-D,46891802,compound,metabolite
2794,CMI-D,131801661,compound,metabolite
2794,CMI-D,24779277,compound,metabolite
2794,CMI-D,52925094,compound,metabolite
2794,CMI-D,131750486,compound,metabolite
2798,CMI-D,699414,compound,metabolite
2799,CMI-D,53478000,compound,metabolite
2799,CMI-D,52926616,compound,metabolite
2812,CMI-D,24778876,compound,metabolite
30323,CMI-D,52926310,compound,metabolite
30323,CMI-D,100981287,compound,metabolite
30323,CMI-D,24779550,compound,metabolite
30323,CMI-D,3081383,compound,metabolite
2973,CMI-D,5283496,compound,metabolite
2973,CMI-D,1060,compound,metabolite
2973,CMI-D,52922252,compound,metabolite
5966,CMI-D,444972,compound,metabolite
2993,CMI-D,52924644,compound,metabolite
2993,CMI-D,52923946,compound,metabolite
3059,CMI-D,52923914,compound,metabolite
4369270,CMI-D,52924152,compound,metabolite
4369270,CMI-D,24778855,compound,metabolite
4369270,CMI-D,52925065,compound,metabolite
4369270,CMI-D,52922252,compound,metabolite
4369270,CMI-D,42607457,compound,metabolite
4369270,CMI-D,52923902,compound,metabolite
4369270,CMI-D,52926307,compound,metabolite
4369270,CMI-D,52923852,compound,metabolite
4369270,CMI-D,53481779,compound,metabolite
4369270,CMI-D,24778624,compound,metabolite
4369270,CMI-D,52925214,compound,metabolite
4369270,CMI-D,131742,compound,metabolite
4369270,CMI-D,24779046,compound,metabolite
4369270,CMI-D,53478643,compound,metabolite
15478,CMI-D,24779545,compound,metabolite
15478,CMI-D,24778634,compound,metabolite
15478,CMI-D,65076,compound,metabolite
2724385,CMI-D,52925710,compound,metabolite
2724385,CMI-D,24778868,compound,metabolite
2724385,CMI-D,52923958,compound,metabolite
2724385,CMI-D,131750353,compound,metabolite
2724385,CMI-D,53479588,compound,metabolite
2724385,CMI-D,52925094,compound,metabolite
2724385,CMI-D,9939965,compound,metabolite
