head,relation,tail,head_type,tail_type
1548953,CMI-D,24779384,compound,metabolite
1548953,CMI-D,5957,compound,metabolite
1548953,CMI-D,46891805,compound,metabolite
1548953,CMI-D,9543989,compound,metabolite
1548953,CMI-D,586,compound,metabolite
1548953,CMI-D,131801661,compound,metabolite
46220502,CMI-D,46891805,compound,metabolite
46220502,CMI-D,24778876,compound,metabolite
46220502,CMI-D,9543989,compound,metabolite
46220502,CMI-D,52923834,compound,metabolite
46220502,CMI-D,52925128,compound,metabolite
1978,CMI-D,6305,compound,metabolite
2090,CMI-D,1060,compound,metabolite
5282181,CMI-D,53480355,compound,metabolite
5282181,CMI-D,52925710,compound,metabolite
5282181,CMI-D,24779379,compound,metabolite
5282181,CMI-D,131753238,compound,metabolite
45006157,CMI-D,16219824,compound,metabolite
45006157,CMI-D,24778876,compound,metabolite
98889,CMI-D,5283568,compound,metabolite
9807070,CMI-D,52925065,compound,metabolite
9807070,CMI-D,9547000,compound,metabolite
9807070,CMI-D,753,compound,metabolite
9807070,CMI-D,24779297,compound,metabolite
9807070,CMI-D,11803170,compound,metabolite
2247,CMI-D,24778715,compound,metabolite
6918453,CMI-D,52925126,compound,metabolite
6918453,CMI-D,24778699,compound,metabolite
2267,CMI-D,52924152,compound,metabolite
2267,CMI-D,5283576,compound,metabolite
2351,CMI-D,52925997,compound,metabolite
2351,CMI-D,750,compound,metabolite
2351,CMI-D,65076,compound,metabolite
2351,CMI-D,190,compound,metabolite
104865,CMI-D,52926308,compound,metabolite
5328940,CMI-D,52925126,compound,metabolite
5328940,CMI-D,16219824,compound,metabolite
5328940,CMI-D,445468,compound,metabolite
5328940,CMI-D,52925059,compound,metabolite
5328940,CMI-D,24778855,compound,metabolite
5328940,CMI-D,42607428,compound,metabolite
5328940,CMI-D,24778638,compound,metabolite
5328940,CMI-D,439286,compound,metabolite
5328940,CMI-D,46891684,compound,metabolite
5328940,CMI-D,25074411,compound,metabolite
47472,CMI-D,51,compound,metabolite
2564,CMI-D,52923972,compound,metabolite
2564,CMI-D,92746,compound,metabolite
2564,CMI-D,46891805,compound,metabolite
10206,CMI-D,52926310,compound,metabolite
10206,CMI-D,439286,compound,metabolite
2713,CMI-D,15993,compound,metabolite
11289,CMI-D,24778876,compound,metabolite
2722,CMI-D,53481755,compound,metabolite
2752,CMI-D,24779545,compound,metabolite
156419,CMI-D,6305,compound,metabolite
1547484,CMI-D,5283523,compound,metabolite
26987,CMI-D,58,compound,metabolite
2782,CMI-D,2094,compound,metabolite
60063,CMI-D,11954196,compound,metabolite
5282493,CMI-D,1112,compound,metabolite
5282493,CMI-D,8299,compound,metabolite
2794,CMI-D,52923852,compound,metabolite
2794,CMI-D,52926310,compound,metabolite
2794,CMI-D,24779053,compound,metabolite
2794,CMI-D,24779550,compound,metabolite
2794,CMI-D,53481707,compound,metabolite
2812,CMI-D,52922703,compound,metabolite
28417,CMI-D,439279,compound,metabolite
56640146,CMI-D,52924644,compound,metabolite
30323,CMI-D,24779554,compound,metabolite
30323,CMI-D,53479481,compound,metabolite
2973,CMI-D,100921659,compound,metabolite
124087,CMI-D,53297342,compound,metabolite
71414,CMI-D,3013625,compound,metabolite
4369270,CMI-D,131801660,compound,metabolite
4369270,CMI-D,9546747,compound,metabolite
4369270,CMI-D,53481755,compound,metabolite
4369270,CMI-D,44260130,compound,metabolite
4369270,CMI-D,129657,compound,metabolite
4369270,CMI-D,24778643,compound,metabolite
4369270,CMI-D,131766038,compound,metabolite
4369270,CMI-D,53480484,compound,metabolite
15478,CMI-D,52925126,compound,metabolite
15478,CMI-D,53481783,compound,metabolite
6857,CMI-D,52924644,compound,metabolite
36811,CMI-D,105024,compound,metabolite
208898,CMI-D,16219824,compound,metabolite
208898,CMI-D,53297342,compound,metabolite
208898,CMI-D,131801673,compound,metabolite
208898,CMI-D,52927142,compound,metabolite
208898,CMI-D,24778638,compound,metabolite
208898,CMI-D,24779386,compound,metabolite
208898,CMI-D,24779275,compound,metabolite
208898,CMI-D,53481755,compound,metabolite
208898,CMI-D,44260127,compound,metabolite
208898,CMI-D,131750350,compound,metabolite
3198,CMI-D,753,compound,metabolite
13791,CMI-D,984,compound,metabolite
3280,CMI-D,52923958,compound,metabolite
3280,CMI-D,52923972,compound,metabolite
3280,CMI-D,53481789,compound,metabolite
3280,CMI-D,24778715,compound,metabolite
3280,CMI-D,52925426,compound,metabolite
193962,CMI-D,439286,compound,metabolite
193962,CMI-D,64969,compound,metabolite
193962,CMI-D,131801910,compound,metabolite
3339,CMI-D,984,compound,metabolite
3339,CMI-D,24779275,compound,metabolite
5790,CMI-D,131753617,compound,metabolite
941361,CMI-D,439213,compound,metabolite
941361,CMI-D,24779336,compound,metabolite
9642,CMI-D,11850,compound,metabolite
3372,CMI-D,6083,compound,metabolite
3396,CMI-D,51,compound,metabolite
3396,CMI-D,971,compound,metabolite
444036,CMI-D,1088,compound,metabolite
444036,CMI-D,6305,compound,metabolite
444036,CMI-D,52926310,compound,metabolite
444036,CMI-D,586,compound,metabolite
444036,CMI-D,52926307,compound,metabolite
444036,CMI-D,5283344,compound,metabolite
444036,CMI-D,52927148,compound,metabolite
3455,CMI-D,53481751,compound,metabolite
3455,CMI-D,24778868,compound,metabolite
60750,CMI-D,145742,compound,metabolite
3607,CMI-D,131801673,compound,metabolite
3607,CMI-D,53479159,compound,metabolite
3607,CMI-D,52923085,compound,metabolite
3627,CMI-D,185698,compound,metabolite
60838,CMI-D,145742,compound,metabolite
3085416,CMI-D,52923087,compound,metabolite
3085416,CMI-D,52925426,compound,metabolite
3085416,CMI-D,24778624,compound,metabolite
3085416,CMI-D,44260126,compound,metabolite
3085416,CMI-D,5699,compound,metabolite
456201,CMI-D,5283523,compound,metabolite
124202151,CMI-D,52925469,compound,metabolite
124202151,CMI-D,439279,compound,metabolite
124202151,CMI-D,53479796,compound,metabolite
124202151,CMI-D,52923882,compound,metabolite
3949,CMI-D,53297342,compound,metabolite
9853053,CMI-D,52923902,compound,metabolite
9853053,CMI-D,52923906,compound,metabolite
9853053,CMI-D,58,compound,metabolite
9853053,CMI-D,53481707,compound,metabolite
9853053,CMI-D,131801673,compound,metabolite
9853053,CMI-D,11803170,compound,metabolite
9853053,CMI-D,24778642,compound,metabolite
9853053,CMI-D,53481755,compound,metabolite
9853053,CMI-D,53478598,compound,metabolite
9853053,CMI-D,644260,compound,metabolite
4008,CMI-D,445063,compound,metabolite
4008,CMI-D,440728,compound,metabolite
4008,CMI-D,1054,compound,metabolite
4008,CMI-D,305,compound,metabolite
4011,CMI-D,6083,compound,metabolite
4046,CMI-D,10747814,compound,metabolite
4046,CMI-D,439402,compound,metabolite
4046,CMI-D,11850,compound,metabolite
4046,CMI-D,16759366,compound,metabolite
4046,CMI-D,24779275,compound,metabolite
4167,CMI-D,53479796,compound,metabolite
4184,CMI-D,42607457,compound,metabolite
4184,CMI-D,52925127,compound,metabolite
60663,CMI-D,445063,compound,metabolite
55245,CMI-D,24779384,compound,metabolite
4212,CMI-D,9546747,compound,metabolite
4212,CMI-D,52927171,compound,metabolite
189562,CMI-D,984,compound,metabolite
189562,CMI-D,1055,compound,metabolite
4449,CMI-D,58,compound,metabolite
4622,CMI-D,9547000,compound,metabolite
5353853,CMI-D,53481777,compound,metabolite
4680,CMI-D,444972,compound,metabolite
4680,CMI-D,10747814,compound,metabolite
4680,CMI-D,753,compound,metabolite
16362,CMI-D,24778898,compound,metabolite
16362,CMI-D,52926308,compound,metabolite
16362,CMI-D,5283523,compound,metabolite
16362,CMI-D,52926310,compound,metabolite
16362,CMI-D,439279,compound,metabolite
16362,CMI-D,24778815,compound,metabolite
16362,CMI-D,7680,compound,metabolite
13981868,CMI-D,52925997,compound,metabolite
4828,CMI-D,52923085,compound,metabolite
19675,CMI-D,41781,compound,metabolite
27400,CMI-D,6030,compound,metabolite
4886,CMI-D,439250,compound,metabolite
4926,CMI-D,1198,compound,metabolite
4926,CMI-D,1174,compound,metabolite
237,CMI-D,24778634,compound,metabolite
237,CMI-D,52925126,compound,metabolite
237,CMI-D,52926490,compound,metabolite
237,CMI-D,53478597,compound,metabolite
237,CMI-D,24778881,compound,metabolite
6307,CMI-D,115255,compound,metabolite
5770,CMI-D,131750376,compound,metabolite
5311412,CMI-D,24778868,compound,metabolite
104850,CMI-D,41781,compound,metabolite
65863,CMI-D,131750486,compound,metabolite
65863,CMI-D,131766038,compound,metabolite
65863,CMI-D,24778627,compound,metabolite
5319,CMI-D,11146967,compound,metabolite
5324,CMI-D,131750370,compound,metabolite
13819073,CMI-D,52923902,compound,metabolite
5381,CMI-D,52925155,compound,metabolite
65999,CMI-D,2094,compound,metabolite
441383,CMI-D,46891805,compound,metabolite
441383,CMI-D,6736,compound,metabolite
5405,CMI-D,24779545,compound,metabolite
5405,CMI-D,53481787,compound,metabolite
5405,CMI-D,53479605,compound,metabolite
5405,CMI-D,52926308,compound,metabolite
5405,CMI-D,5283496,compound,metabolite
5405,CMI-D,131750340,compound,metabolite
10410310,CMI-D,53479547,compound,metabolite
5440,CMI-D,53479772,compound,metabolite
5440,CMI-D,6083,compound,metabolite
5440,CMI-D,52922703,compound,metabolite
5440,CMI-D,52925094,compound,metabolite
5440,CMI-D,52923894,compound,metabolite
5440,CMI-D,52924378,compound,metabolite
5440,CMI-D,9939965,compound,metabolite
5452,CMI-D,545588,compound,metabolite
16129666,CMI-D,52923906,compound,metabolite
444008,CMI-D,53297342,compound,metabolite
124226581,CMI-D,24778688,compound,metabolite
124226581,CMI-D,52931207,compound,metabolite
60700,CMI-D,24778723,compound,metabolite
60700,CMI-D,24778766,compound,metabolite
60700,CMI-D,52923914,compound,metabolite
60700,CMI-D,14057128,compound,metabolite
5526,CMI-D,52923950,compound,metabolite
5526,CMI-D,16219824,compound,metabolite
5526,CMI-D,131801673,compound,metabolite
5526,CMI-D,24778723,compound,metabolite
31307,CMI-D,24778871,compound,metabolite
196122,CMI-D,53479483,compound,metabolite
196122,CMI-D,52925997,compound,metabolite
196122,CMI-D,4991,compound,metabolite
196122,CMI-D,53478000,compound,metabolite
50248,CMI-D,5283568,compound,metabolite
5566,CMI-D,187790,compound,metabolite
6604381,CMI-D,699414,compound,metabolite
443955,CMI-D,42607457,compound,metabolite
5311,CMI-D,750,compound,metabolite
5311,CMI-D,24778643,compound,metabolite
5311,CMI-D,5283523,compound,metabolite
54678486,CMI-D,5202,compound,metabolite
5707,CMI-D,131762121,compound,metabolite
5735,CMI-D,52923958,compound,metabolite
5735,CMI-D,53481783,compound,metabolite
5735,CMI-D,5202,compound,metabolite
5735,CMI-D,9939965,compound,metabolite
5735,CMI-D,53481789,compound,metabolite
5819,CMI-U,44260126,compound,metabolite
54676537,CMI-U,49,compound,metabolite
54676537,CMI-U,11953879,compound,metabolite
12035,CMI-U,41781,compound,metabolite
12035,CMI-U,24906333,compound,metabolite
12035,CMI-U,83944,compound,metabolite
2090,CMI-U,24778868,compound,metabolite
2090,CMI-U,131750350,compound,metabolite
2090,CMI-U,445580,compound,metabolite
2090,CMI-U,5284616,compound,metabolite
5282181,CMI-U,18526330,compound,metabolite
4112,CMI-U,9547096,compound,metabolite
62389,CMI-U,1021,compound,metabolite
2160,CMI-U,5957,compound,metabolite
2162,CMI-U,638072,compound,metabolite
2165,CMI-U,445468,compound,metabolite
2194,CMI-U,24779386,compound,metabolite
2194,CMI-U,53481755,compound,metabolite
2194,CMI-U,24778639,compound,metabolite
2194,CMI-U,46891684,compound,metabolite
2194,CMI-U,129657,compound,metabolite
2194,CMI-U,24778627,compound,metabolite
2194,CMI-U,24779046,compound,metabolite
60795,CMI-U,131750726,compound,metabolite
60795,CMI-U,53480922,compound,metabolite
60795,CMI-U,3893,compound,metabolite
32170,CMI-U,52924644,compound,metabolite
32170,CMI-U,24778715,compound,metabolite
32170,CMI-U,440728,compound,metabolite
32170,CMI-U,440735,compound,metabolite
32170,CMI-U,44260138,compound,metabolite
6918453,CMI-U,42607430,compound,metabolite
23760137,CMI-U,699414,compound,metabolite
23760137,CMI-U,52925710,compound,metabolite
23760137,CMI-U,131750353,compound,metabolite
23760137,CMI-U,24778855,compound,metabolite
91522200,CMI-U,9547068,compound,metabolite
91522200,CMI-U,53480447,compound,metabolite
2335,CMI-U,24779551,compound,metabolite
2335,CMI-U,46891802,compound,metabolite
2453,CMI-U,52925065,compound,metabolite
2453,CMI-U,5283574,compound,metabolite
2453,CMI-U,44260139,compound,metabolite
5281004,CMI-U,131750633,compound,metabolite
5281004,CMI-U,52925127,compound,metabolite
5281004,CMI-U,3082163,compound,metabolite
5281004,CMI-U,5283575,compound,metabolite
444,CMI-U,9838356,compound,metabolite
2482,CMI-U,985,compound,metabolite
6710732,CMI-U,1123,compound,metabolite
2585,CMI-U,439250,compound,metabolite
10206,CMI-U,44260126,compound,metabolite
2710,CMI-U,53481787,compound,metabolite
2710,CMI-U,52923834,compound,metabolite
2713,CMI-U,24779384,compound,metabolite
2719,CMI-U,24779386,compound,metabolite
2722,CMI-U,5283573,compound,metabolite
2722,CMI-U,5283575,compound,metabolite
2722,CMI-U,52925065,compound,metabolite
2722,CMI-U,24778627,compound,metabolite
2722,CMI-U,4543,compound,metabolite
2752,CMI-U,440659,compound,metabolite
2752,CMI-U,445468,compound,metabolite
2752,CMI-U,131801661,compound,metabolite
156419,CMI-U,52927142,compound,metabolite
156419,CMI-U,5284616,compound,metabolite
156419,CMI-U,11660820,compound,metabolite
156419,CMI-U,10467,compound,metabolite
156419,CMI-U,443076,compound,metabolite
156419,CMI-U,42621273,compound,metabolite
156419,CMI-U,131750367,compound,metabolite
156419,CMI-U,6917715,compound,metabolite
156419,CMI-U,3348,compound,metabolite
156419,CMI-U,3531157,compound,metabolite
5311047,CMI-U,9547068,compound,metabolite
26987,CMI-U,24779336,compound,metabolite
26987,CMI-U,5283577,compound,metabolite
37907,CMI-U,5789,compound,metabolite
2788,CMI-U,52926308,compound,metabolite
2788,CMI-U,53481783,compound,metabolite
2788,CMI-U,5380406,compound,metabolite
2788,CMI-U,5283572,compound,metabolite
2788,CMI-U,131801661,compound,metabolite
2788,CMI-U,24778625,compound,metabolite
2788,CMI-U,53479796,compound,metabolite
2788,CMI-U,53481789,compound,metabolite
2788,CMI-U,52924644,compound,metabolite
5282493,CMI-U,52925229,compound,metabolite
5282493,CMI-U,46891805,compound,metabolite
5282493,CMI-U,52923894,compound,metabolite
5282493,CMI-U,24778627,compound,metabolite
5282493,CMI-U,24779386,compound,metabolite
2805,CMI-U,52931223,compound,metabolite
2805,CMI-U,5280473,compound,metabolite
2805,CMI-U,53480355,compound,metabolite
2805,CMI-U,53481785,compound,metabolite
2805,CMI-U,24779546,compound,metabolite
6167,CMI-U,24779053,compound,metabolite
6167,CMI-U,984,compound,metabolite
6167,CMI-U,18631369,compound,metabolite
73707472,CMI-U,9547000,compound,metabolite
2893,CMI-U,957,compound,metabolite
2893,CMI-U,1179,compound,metabolite
2895,CMI-U,53479483,compound,metabolite
2895,CMI-U,53481757,compound,metabolite
2895,CMI-U,53478072,compound,metabolite
56640146,CMI-U,24779275,compound,metabolite
73707512,CMI-U,53481703,compound,metabolite
6166,CMI-U,53481753,compound,metabolite
203911,CMI-U,44260126,compound,metabolite
203911,CMI-U,52925131,compound,metabolite
203911,CMI-U,53478030,compound,metabolite
124087,CMI-U,52931207,compound,metabolite
26248,CMI-U,439213,compound,metabolite
26248,CMI-U,2094,compound,metabolite
26248,CMI-U,105024,compound,metabolite
26248,CMI-U,190,compound,metabolite
3025,CMI-U,53481751,compound,metabolite
18381,CMI-U,131750378,compound,metabolite
