head,relation,tail,head_type,tail_type
24360,CMI-D,52924353,compound,metabolite
24360,CMI-D,24778715,compound,metabolite
24360,CMI-D,52923950,compound,metabolite
24360,CMI-D,24778766,compound,metabolite
6234,CMI-D,5283496,compound,metabolite
6234,CMI-D,52923958,compound,metabolite
6234,CMI-D,5281915,compound,metabolite
6234,CMI-D,52931207,compound,metabolite
6234,CMI-D,53477892,compound,metabolite
1548953,CMI-D,6083,compound,metabolite
1548953,CMI-D,52923972,compound,metabolite
1548953,CMI-D,24778871,compound,metabolite
1548953,CMI-D,52924223,compound,metabolite
1548953,CMI-D,445063,compound,metabolite
1548953,CMI-D,190,compound,metabolite
1548953,CMI-D,24778642,compound,metabolite
46220502,CMI-D,52925985,compound,metabolite
46220502,CMI-D,52924353,compound,metabolite
46220502,CMI-D,24779384,compound,metabolite
46220502,CMI-D,24779551,compound,metabolite
46220502,CMI-D,108063,compound,metabolite
46220502,CMI-D,52925426,compound,metabolite
46220502,CMI-D,52923087,compound,metabolite
46220502,CMI-D,52923882,compound,metabolite
46220502,CMI-D,53481781,compound,metabolite
46220502,CMI-D,52927174,compound,metabolite
46220502,CMI-D,53479159,compound,metabolite
60164,CMI-D,131750353,compound,metabolite
5282181,CMI-D,24778624,compound,metabolite
2133,CMI-D,24778868,compound,metabolite
2133,CMI-D,24778871,compound,metabolite
2157,CMI-D,46891805,compound,metabolite
2157,CMI-D,41781,compound,metabolite
2157,CMI-D,53479796,compound,metabolite
2157,CMI-D,24779277,compound,metabolite
2157,CMI-D,52922703,compound,metabolite
2157,CMI-D,24906333,compound,metabolite
2157,CMI-D,24778643,compound,metabolite
2157,CMI-D,24779336,compound,metabolite
2196,CMI-D,53479483,compound,metabolite
2196,CMI-D,44260125,compound,metabolite
2196,CMI-D,52923882,compound,metabolite
98889,CMI-D,44260138,compound,metabolite
9807070,CMI-D,131801673,compound,metabolite
60795,CMI-D,971,compound,metabolite
60795,CMI-D,185698,compound,metabolite
60795,CMI-D,4991,compound,metabolite
2267,CMI-D,1174,compound,metabolite
2335,CMI-D,10747814,compound,metabolite
2335,CMI-D,439213,compound,metabolite
47472,CMI-D,24906333,compound,metabolite
47472,CMI-D,44260126,compound,metabolite
2564,CMI-D,52923085,compound,metabolite
2564,CMI-D,24778638,compound,metabolite
2564,CMI-D,52925469,compound,metabolite
2722,CMI-D,53481757,compound,metabolite
2722,CMI-D,53479547,compound,metabolite
2722,CMI-D,53481755,compound,metabolite
2749,CMI-D,52923087,compound,metabolite
2749,CMI-D,52922703,compound,metabolite
2749,CMI-D,24778688,compound,metabolite
2749,CMI-D,53479907,compound,metabolite
2749,CMI-D,53481755,compound,metabolite
156419,CMI-D,1060,compound,metabolite
156419,CMI-D,811,compound,metabolite
156419,CMI-D,15993,compound,metabolite
156419,CMI-D,10972,compound,metabolite
5282493,CMI-D,119207,compound,metabolite
5282493,CMI-D,159663,compound,metabolite
5282493,CMI-D,89472,compound,metabolite
5282493,CMI-D,6368126,compound,metabolite
2794,CMI-D,53481777,compound,metabolite
2794,CMI-D,53479796,compound,metabolite
2794,CMI-D,129657,compound,metabolite
2801,CMI-D,6083,compound,metabolite
2803,CMI-D,131750341,compound,metabolite
2812,CMI-D,24779275,compound,metabolite
2812,CMI-D,444972,compound,metabolite
2812,CMI-D,24779386,compound,metabolite
6197,CMI-D,52925997,compound,metabolite
9855081,CMI-D,52923902,compound,metabolite
56640146,CMI-D,24779545,compound,metabolite
2973,CMI-D,24779277,compound,metabolite
203911,CMI-D,440728,compound,metabolite
236702,CMI-D,24779052,compound,metabolite
3037,CMI-D,53477994,compound,metabolite
71414,CMI-D,3013625,compound,metabolite
2724385,CMI-D,52922252,compound,metabolite
2724385,CMI-D,52924125,compound,metabolite
2724385,CMI-D,445468,compound,metabolite
2724385,CMI-D,46891802,compound,metabolite
2724385,CMI-D,53481707,compound,metabolite
2724385,CMI-D,5284616,compound,metabolite
2724385,CMI-D,53481753,compound,metabolite
2724385,CMI-D,53479481,compound,metabolite
2724385,CMI-D,18631369,compound,metabolite
2724385,CMI-D,545606,compound,metabolite
2724385,CMI-D,131753887,compound,metabolite
31703,CMI-D,5289145,compound,metabolite
208898,CMI-D,16219824,compound,metabolite
208898,CMI-D,42607457,compound,metabolite
208898,CMI-D,24779553,compound,metabolite
208898,CMI-D,11803170,compound,metabolite
208898,CMI-D,52922210,compound,metabolite
208898,CMI-D,24778745,compound,metabolite
208898,CMI-D,24779336,compound,metabolite
208898,CMI-D,44260124,compound,metabolite
3198,CMI-D,1060,compound,metabolite
129010031,CMI-D,9547096,compound,metabolite
259329,CMI-D,24779545,compound,metabolite
3280,CMI-D,52923972,compound,metabolite
3280,CMI-D,24778868,compound,metabolite
3280,CMI-D,5280473,compound,metabolite
3280,CMI-D,11433862,compound,metabolite
3280,CMI-D,53481767,compound,metabolite
193962,CMI-D,439402,compound,metabolite
193962,CMI-D,123895,compound,metabolite
3326,CMI-D,24778898,compound,metabolite
3334,CMI-D,7680,compound,metabolite
3334,CMI-D,24779386,compound,metabolite
3336,CMI-D,65076,compound,metabolite
941361,CMI-D,131750340,compound,metabolite
9642,CMI-D,24779052,compound,metabolite
9642,CMI-D,44260138,compound,metabolite
3396,CMI-D,750,compound,metabolite
37393,CMI-D,115255,compound,metabolite
3607,CMI-D,46891805,compound,metabolite
3607,CMI-D,52926604,compound,metabolite
