head,relation,tail,head_type,tail_type
1023,MPI,P51965,metabolite,protein
1023,MPI,Q9UKU0,metabolite,protein
1023,MPI,P56192,metabolite,protein
1023,MPI,P49588,metabolite,protein
1023,MPI,Q9UGM6,metabolite,protein
1023,MPI,P60891,metabolite,protein
1023,MPI,Q9NP81,metabolite,protein
1023,MPI,P11908,metabolite,protein
1023,MPI,P63279,metabolite,protein
1023,MPI,P49590,metabolite,protein
1023,MPI,Q9Y385,metabolite,protein
1023,MPI,Q9ULC5,metabolite,protein
1023,MPI,P12081,metabolite,protein
1023,MPI,P49591,metabolite,protein
1023,MPI,O95573,metabolite,protein
1023,MPI,Q9P2J5,metabolite,protein
1023,MPI,O00762,metabolite,protein
1023,MPI,P26640,metabolite,protein
1023,MPI,P61088,metabolite,protein
1023,MPI,P00966,metabolite,protein
1023,MPI,P18858,metabolite,protein
1023,MPI,P51828,metabolite,protein
1023,MPI,Q8NFM4,metabolite,protein
1023,MPI,O43306,metabolite,protein
1023,MPI,O95622,metabolite,protein
1023,MPI,P40145,metabolite,protein
1023,MPI,O60503,metabolite,protein
1023,MPI,O60266,metabolite,protein
1023,MPI,Q08828,metabolite,protein
1023,MPI,Q9Y5K3,metabolite,protein
1023,MPI,P05423,metabolite,protein
1023,MPI,P30876,metabolite,protein
1023,MPI,Q99447,metabolite,protein
1023,MPI,P24928,metabolite,protein
1023,MPI,O00411,metabolite,protein
1023,MPI,Q9H9Y6,metabolite,protein
1023,MPI,O15318,metabolite,protein
1023,MPI,O95674,metabolite,protein
1023,MPI,Q9NW08,metabolite,protein
1023,MPI,P49585,metabolite,protein
1023,MPI,Q9GZS1,metabolite,protein
1023,MPI,Q9Y535,metabolite,protein
1023,MPI,Q9Y2Y1,metabolite,protein
1023,MPI,Q92903,metabolite,protein
1023,MPI,Q08462,metabolite,protein
1023,MPI,O95749,metabolite,protein
1023,MPI,P14324,metabolite,protein
1023,MPI,P06746,metabolite,protein
1023,MPI,P09884,metabolite,protein
1023,MPI,Q9UGP5,metabolite,protein
1023,MPI,Q9NR33,metabolite,protein
1023,MPI,Q9Y253,metabolite,protein
1023,MPI,P28340,metabolite,protein
1023,MPI,O60673,metabolite,protein
1023,MPI,Q07864,metabolite,protein
1023,MPI,Q9NP87,metabolite,protein
1023,MPI,Q9UBT6,metabolite,protein
1023,MPI,Q9NRF9,metabolite,protein
1023,MPI,P54098,metabolite,protein
1023,MPI,Q9UNA4,metabolite,protein
1023,MPI,P56282,metabolite,protein
1023,MPI,P11172,metabolite,protein
1023,MPI,P20594,metabolite,protein
1023,MPI,Q02153,metabolite,protein
1023,MPI,Q02846,metabolite,protein
1023,MPI,Q02108,metabolite,protein
1023,MPI,P16066,metabolite,protein
1023,MPI,P25092,metabolite,protein
1023,MPI,Q15181,metabolite,protein
1023,MPI,P33402,metabolite,protein
1023,MPI,Q16851,metabolite,protein
1023,MPI,P04053,metabolite,protein
1023,MPI,P51841,metabolite,protein
1023,MPI,O75343,metabolite,protein
1023,MPI,P51003,metabolite,protein
1023,MPI,Q16222,metabolite,protein
1023,MPI,O60942,metabolite,protein
1023,MPI,Q9BWT3,metabolite,protein
1023,MPI,Q12887,metabolite,protein
1023,MPI,P53609,metabolite,protein
1023,MPI,P49354,metabolite,protein
1023,MPI,Q13057,metabolite,protein
1023,MPI,O14975,metabolite,protein
1023,MPI,O95396,metabolite,protein
1023,MPI,Q9NZB8,metabolite,protein
1023,MPI,Q96PU5,metabolite,protein
1023,MPI,Q00987,metabolite,protein
1023,MPI,O14746,metabolite,protein
1023,MPI,Q9NQX3,metabolite,protein
1023,MPI,P36639,metabolite,protein
1023,MPI,Q9HAB8,metabolite,protein
1023,MPI,Q9Y2P5,metabolite,protein
1023,MPI,Q6IA69,metabolite,protein
1023,MPI,Q96H96,metabolite,protein
1023,MPI,Q9Y5P6,metabolite,protein
1023,MPI,Q96IJ6,metabolite,protein
1023,MPI,Q9NZL9,metabolite,protein
1023,MPI,Q86V21,metabolite,protein
1023,MPI,Q96PN6,metabolite,protein
1023,MPI,Q08AH1,metabolite,protein
1023,MPI,Q9H2U2,metabolite,protein
1023,MPI,Q5T160,metabolite,protein
1023,MPI,Q9HA77,metabolite,protein
1023,MPI,Q5JPH6,metabolite,protein
1023,MPI,Q4L235,metabolite,protein
1023,MPI,Q8NFF5,metabolite,protein
1023,MPI,Q5ST30,metabolite,protein
1023,MPI,P22681,metabolite,protein
1023,MPI,Q9ULV8,metabolite,protein
1023,MPI,Q86TP1,metabolite,protein
1023,MPI,Q6P461,metabolite,protein
1023,MPI,Q15751,metabolite,protein
1023,MPI,O95714,metabolite,protein
1023,MPI,Q16656,metabolite,protein
1023,MPI,Q08AH3,metabolite,protein
1023,MPI,Q68CK6,metabolite,protein
1023,MPI,Q53FZ2,metabolite,protein
1023,MPI,Q6NUN0,metabolite,protein
1023,MPI,Q9NV35,metabolite,protein
1023,MPI,Q96Q11,metabolite,protein
1023,MPI,P43490,metabolite,protein
1023,MPI,Q6XQN6,metabolite,protein
1023,MPI,P0C7M7,metabolite,protein
1023,MPI,Q9BW92,metabolite,protein
1023,MPI,Q96GW9,metabolite,protein
1023,MPI,Q6PI48,metabolite,protein
1023,MPI,P49589,metabolite,protein
1023,MPI,Q96I59,metabolite,protein
1023,MPI,Q9UBT2,metabolite,protein
1023,MPI,Q7Z6Z7,metabolite,protein
1023,MPI,Q9NS56,metabolite,protein
1023,MPI,Q9UNE7,metabolite,protein
1023,MPI,O95155,metabolite,protein
1023,MPI,O60337,metabolite,protein
1023,MPI,Q9H0M0,metabolite,protein
1023,MPI,O00308,metabolite,protein
1023,MPI,Q86UD3,metabolite,protein
1023,MPI,Q969M7,metabolite,protein
1023,MPI,Q5VVX9,metabolite,protein
1023,MPI,Q8NA82,metabolite,protein
1023,MPI,Q8IWV7,metabolite,protein
1023,MPI,Q5T0T0,metabolite,protein
1023,MPI,Q8NHG8,metabolite,protein
1023,MPI,Q13049,metabolite,protein
1023,MPI,O75592,metabolite,protein
1023,MPI,O60291,metabolite,protein
1023,MPI,Q8IWV8,metabolite,protein
1023,MPI,Q5T4S7,metabolite,protein
1023,MPI,Q9UKV5,metabolite,protein
1023,MPI,Q16763,metabolite,protein
1023,MPI,Q9UMS4,metabolite,protein
1023,MPI,Q8WY64,metabolite,protein
1023,MPI,Q96T88,metabolite,protein
1023,MPI,Q5JXB2,metabolite,protein
1023,MPI,O15344,metabolite,protein
1023,MPI,P46934,metabolite,protein
1023,MPI,O95628,metabolite,protein
1023,MPI,Q9P0N8,metabolite,protein
1023,MPI,O95071,metabolite,protein
1023,MPI,Q9UPN9,metabolite,protein
1023,MPI,Q9NX47,metabolite,protein
1023,MPI,Q712K3,metabolite,protein
1023,MPI,Q8TCQ1,metabolite,protein
1023,MPI,Q9NW38,metabolite,protein
1023,MPI,Q96B02,metabolite,protein
1023,MPI,Q96EP1,metabolite,protein
1023,MPI,Q5VTR2,metabolite,protein
1023,MPI,Q9NS91,metabolite,protein
1023,MPI,Q9HCE7,metabolite,protein
1023,MPI,Q9NR09,metabolite,protein
1023,MPI,Q9P2E8,metabolite,protein
1023,MPI,Q9NPC3,metabolite,protein
1023,MPI,Q99942,metabolite,protein
1023,MPI,Q9C0C9,metabolite,protein
1023,MPI,Q9HAU4,metabolite,protein
1023,MPI,Q8IUQ4,metabolite,protein
1023,MPI,O43255,metabolite,protein
1023,MPI,Q9H992,metabolite,protein
1023,MPI,Q9H832,metabolite,protein
1023,MPI,P41226,metabolite,protein
1023,MPI,Q05086,metabolite,protein
1023,MPI,Q8TEB7,metabolite,protein
1023,MPI,Q96F44,metabolite,protein
1023,MPI,Q86TM6,metabolite,protein
1023,MPI,Q969Q1,metabolite,protein
1023,MPI,Q8TBB1,metabolite,protein
1023,MPI,Q8ND25,metabolite,protein
1023,MPI,Q9C035,metabolite,protein
1023,MPI,Q7Z3V4,metabolite,protein
1023,MPI,O76064,metabolite,protein
1023,MPI,Q6UWE0,metabolite,protein
