head,relation,tail,head_type,tail_type
KDM3A,GPI,Q9Y4C1,gene,protein
ATG3,GPI,Q9NT62,gene,protein
CERK,GPI,Q8TCT0,gene,protein
ACD,GPI,Q96AP0,gene,protein
METRN,GPI,Q9UJH8,gene,protein
TMEM109,GPI,Q9BVC6,gene,protein
UBE3B,GPI,Q7Z3V4,gene,protein
ABCA2,GPI,Q9BZC7,gene,protein
ACACB,GPI,O00763,gene,protein
ACVR2A,GPI,P27037,gene,protein
ADCY3,GPI,O60266,gene,protein
ADORA2B,GPI,P29275,gene,protein
AGA,GPI,P20933,gene,protein
AGT,GPI,P01019,gene,protein
ABCD1,GPI,P33897,gene,protein
ALDH3A2,GPI,P51648,gene,protein
AKR1B1,GPI,P15121,gene,protein
AMPH,GPI,P49418,gene,protein
AMT,GPI,P48728,gene,protein
SLC25A5,GPI,P05141,gene,protein
APEH,GPI,P13798,gene,protein
AQP4,GPI,P55087,gene,protein
RHOC,GPI,P08134,gene,protein
ARHGDIB,GPI,P52566,gene,protein
GET3,GPI,O43681,gene,protein
B2M,GPI,P61769,gene,protein
BLM,GPI,P54132,gene,protein
CA9,GPI,Q16790,gene,protein
CA12,GPI,O43570,gene,protein
CACNA1C,GPI,Q13936,gene,protein
CACNB1,GPI,Q02641,gene,protein
CAMK2A,GPI,Q9UQM7,gene,protein
CAMK2B,GPI,Q13554,gene,protein
CAMLG,GPI,P49069,gene,protein
CAPN6,GPI,Q9Y6Q1,gene,protein
CASP4,GPI,P49662,gene,protein
CAV1,GPI,Q03135,gene,protein
CBS,GPI,P35520,gene,protein
CCKBR,GPI,P32239,gene,protein
CD3E,GPI,P07766,gene,protein
CD28,GPI,P10747,gene,protein
LRBA,GPI,P50851,gene,protein
CTSC,GPI,P53634,gene,protein
RCBTB2,GPI,O95199,gene,protein
CHGA,GPI,P10645,gene,protein
AP2S1,GPI,P53680,gene,protein
CCR5,GPI,P51681,gene,protein
CMKLR1,GPI,Q99788,gene,protein
CR2,GPI,P20023,gene,protein
CREBBP,GPI,Q92793,gene,protein
CS,GPI,O75390,gene,protein
CTSS,GPI,P25774,gene,protein
DCN,GPI,P07585,gene,protein
DCX,GPI,O43602,gene,protein
AKR1C2,GPI,P52895,gene,protein
DGUOK,GPI,Q16854,gene,protein
DNASE1,GPI,P24855,gene,protein
DPYSL3,GPI,Q14195,gene,protein
DYRK1A,GPI,Q13627,gene,protein
ESRRG,GPI,P62508,gene,protein
FAP,GPI,Q12884,gene,protein
FCGRT,GPI,P55899,gene,protein
FOXC2,GPI,Q99958,gene,protein
FLNC,GPI,Q14315,gene,protein
GAGE1,GPI,P0DTW1,gene,protein
GABBR1,GPI,Q9UBS5,gene,protein
GABRB1,GPI,P18505,gene,protein
GAD2,GPI,Q05329,gene,protein
GALNT1,GPI,Q10472,gene,protein
GALT,GPI,P07902,gene,protein
GBX2,GPI,P52951,gene,protein
GEM,GPI,P55040,gene,protein
GFER,GPI,P55789,gene,protein
GLB1,GPI,P16278,gene,protein
GM2A,GPI,P17900,gene,protein
GSTA4,GPI,O15217,gene,protein
HAL,GPI,P42357,gene,protein
HDGF,GPI,P51858,gene,protein
HLA-DPA1,GPI,P20036,gene,protein
HNRNPA1,GPI,P09651,gene,protein
HNRNPL,GPI,P14866,gene,protein
AGFG2,GPI,O95081,gene,protein
IFNGR2,GPI,P38484,gene,protein
