head,relation,tail,head_type,tail_type,label
264,CGI-D,TMED10,compound,gene,2
264,CGI-D,SAR1A,compound,gene,2
264,CGI-D,UFM1,compound,gene,2
264,CGI-D,RFC2,compound,gene,2
264,CGI-D,NCK1,compound,gene,2
264,CGI-D,HOXA5,compound,gene,2
264,CGI-D,SQSTM1,compound,gene,2
264,CGI-D,HERPUD1,compound,gene,2
264,CGI-D,TTC31,compound,gene,2
264,CGI-D,TRADD,compound,gene,2
264,CGI-D,IFI6,compound,gene,2
264,CGI-D,COL21A1,compound,gene,2
264,CGI-D,P3H2,compound,gene,2
264,CGI-D,IFI44,compound,gene,2
299,CGI-U,HES1,compound,gene,1
299,CGI-U,RRS1,compound,gene,1
299,CGI-U,TEC,compound,gene,1
299,CGI-U,HERPUD1,compound,gene,1
299,CGI-U,CXCR4,compound,gene,1
299,CGI-U,YWHAH-AS1,compound,gene,1
299,CGI-U,NR1H2,compound,gene,1
299,CGI-U,OR2J2,compound,gene,1
299,CGI-U,CADM1,compound,gene,1
299,CGI-U,KDM5A,compound,gene,1
299,CGI-U,NFE2L2,compound,gene,1
299,CGI-D,BLCAP,compound,gene,2
299,CGI-D,SNX6,compound,gene,2
299,CGI-D,JPT2,compound,gene,2
299,CGI-D,LBR,compound,gene,2
299,CGI-D,GALE,compound,gene,2
299,CGI-D,RETREG3,compound,gene,2
299,CGI-D,COPB2,compound,gene,2
299,CGI-D,BECN1,compound,gene,2
299,CGI-D,KRT5,compound,gene,2
299,CGI-D,CLTB,compound,gene,2
299,CGI-D,SCAMP3,compound,gene,2
299,CGI-D,PPP4R1,compound,gene,2
305,CGI-U,DCUN1D4,compound,gene,1
305,CGI-U,TPD52L2,compound,gene,1
305,CGI-U,DPYS,compound,gene,1
305,CGI-U,KCTD20,compound,gene,1
305,CGI-U,HDAC9,compound,gene,1
305,CGI-U,PROX1,compound,gene,1
305,CGI-U,GTF2I,compound,gene,1
305,CGI-D,CAB39,compound,gene,2
305,CGI-D,LSM5,compound,gene,2
305,CGI-D,PIAS3,compound,gene,2
305,CGI-D,GAPDHS,compound,gene,2
305,CGI-D,TXK,compound,gene,2
305,CGI-D,ANKRD10,compound,gene,2
305,CGI-D,FAIM,compound,gene,2
305,CGI-D,PAEP,compound,gene,2
305,CGI-D,ADRB3,compound,gene,2
305,CGI-D,HSPA1A,compound,gene,2
305,CGI-D,ZNF44,compound,gene,2
323,CGI-U,RAMP3,compound,gene,1
323,CGI-U,TGFBR2,compound,gene,1
