head,relation,tail,head_type,tail_type,label
119,CGI-U,RRAGA,compound,gene,1
119,CGI-U,BATF3,compound,gene,1
119,CGI-U,MED1,compound,gene,1
119,CGI-U,HP,compound,gene,1
119,CGI-U,CASC3,compound,gene,1
119,CGI-U,GALNS,compound,gene,1
119,CGI-U,PPP1R8,compound,gene,1
119,CGI-U,SCRN1,compound,gene,1
119,CGI-D,NCDN,compound,gene,2
119,CGI-D,VPS4B,compound,gene,2
119,CGI-D,ITGAE,compound,gene,2
119,CGI-D,AMH,compound,gene,2
119,CGI-D,PRR13,compound,gene,2
119,CGI-D,THOC6,compound,gene,2
119,CGI-D,GGA3,compound,gene,2
119,CGI-D,MAPRE3,compound,gene,2
119,CGI-D,PCNP,compound,gene,2
119,CGI-D,SPATA7,compound,gene,2
119,CGI-D,RTL8A,compound,gene,2
119,CGI-D,RNH1,compound,gene,2
119,CGI-D,RGS5,compound,gene,2
187,CGI-U,PPARD,compound,gene,1
187,CGI-U,RRS1,compound,gene,1
187,CGI-U,TAS2R4,compound,gene,1
187,CGI-U,GLRA2,compound,gene,1
187,CGI-U,TGFB3,compound,gene,1
187,CGI-U,COL13A1,compound,gene,1
187,CGI-U,ITPKC,compound,gene,1
187,CGI-U,PRDM14,compound,gene,1
187,CGI-U,KCNJ3,compound,gene,1
187,CGI-U,GDF10,compound,gene,1
187,CGI-D,DERA,compound,gene,2
187,CGI-D,C2CD5,compound,gene,2
187,CGI-D,EMP3,compound,gene,2
187,CGI-D,POMGNT1,compound,gene,2
187,CGI-D,EIF5,compound,gene,2
187,CGI-D,SLC35B1,compound,gene,2
187,CGI-D,PIEZO1,compound,gene,2
200,CGI-U,ALG3,compound,gene,1
200,CGI-U,CCNA2,compound,gene,1
200,CGI-U,DOLK,compound,gene,1
200,CGI-U,RFK,compound,gene,1
200,CGI-U,MAPK1IP1L,compound,gene,1
200,CGI-U,AKR1B1,compound,gene,1
200,CGI-U,ERAP2,compound,gene,1
200,CGI-U,PROS1,compound,gene,1
200,CGI-U,CMPK1,compound,gene,1
200,CGI-U,BLTP2,compound,gene,1
200,CGI-U,RAMP3,compound,gene,1
200,CGI-U,IKZF1,compound,gene,1
200,CGI-D,RYR1,compound,gene,2
200,CGI-D,ARHGEF12,compound,gene,2
200,CGI-D,C1orf159,compound,gene,2
200,CGI-D,ACADVL,compound,gene,2
200,CGI-D,DLST,compound,gene,2
200,CGI-D,ITGAX,compound,gene,2
200,CGI-D,ATG10,compound,gene,2
200,CGI-D,RBCK1,compound,gene,2
200,CGI-D,GPATCH2L,compound,gene,2
200,CGI-D,GDI1,compound,gene,2
204,CGI-U,MLLT11,compound,gene,1
204,CGI-U,RBM15B,compound,gene,1
204,CGI-U,ACP2,compound,gene,1
204,CGI-U,ILRUN,compound,gene,1
204,CGI-U,PRKG2,compound,gene,1
204,CGI-U,VAV3,compound,gene,1
204,CGI-U,APBB2,compound,gene,1
204,CGI-U,PTPRC,compound,gene,1
204,CGI-D,HSPA1A,compound,gene,2
204,CGI-D,TPI1,compound,gene,2
204,CGI-D,GTF2A2,compound,gene,2
204,CGI-D,CBR3,compound,gene,2
204,CGI-D,CTSC,compound,gene,2
204,CGI-D,CGRRF1,compound,gene,2
204,CGI-D,PRR13,compound,gene,2
204,CGI-D,THAP10,compound,gene,2
204,CGI-D,C8orf44,compound,gene,2
204,CGI-D,AACS,compound,gene,2
204,CGI-D,LINS1,compound,gene,2
204,CGI-D,PRKAG1,compound,gene,2
204,CGI-D,CDKN1B,compound,gene,2
237,CGI-U,UBE3B,compound,gene,1
237,CGI-U,MAGEC1,compound,gene,1
237,CGI-U,ROBO1,compound,gene,1
237,CGI-U,FGL1,compound,gene,1
237,CGI-U,SH3BGRL,compound,gene,1
237,CGI-U,SLC6A16,compound,gene,1
237,CGI-U,C5,compound,gene,1
237,CGI-D,MYC,compound,gene,2
237,CGI-D,CDC25B,compound,gene,2
237,CGI-D,NUDCD3,compound,gene,2
237,CGI-D,MTERF3,compound,gene,2
237,CGI-D,BAG5,compound,gene,2
237,CGI-D,MRPS16,compound,gene,2
237,CGI-D,EIF4EBP1,compound,gene,2
237,CGI-D,ARHGEF2,compound,gene,2
237,CGI-D,NSMAF,compound,gene,2
237,CGI-D,CRK,compound,gene,2
237,CGI-D,TDP1,compound,gene,2
243,CGI-U,CREG1,compound,gene,1
243,CGI-U,SORD,compound,gene,1
243,CGI-U,RALB,compound,gene,1
243,CGI-U,SVEP1,compound,gene,1
243,CGI-U,GDI2,compound,gene,1
