head,relation,tail,head_type,tail_type,label
137,CGI-U,GNAI1,compound,gene,1
137,CGI-U,HBB,compound,gene,1
137,CGI-U,SYNE2,compound,gene,1
137,CGI-U,LAGE3,compound,gene,1
137,CGI-U,LILRB1,compound,gene,1
137,CGI-U,SLC25A40,compound,gene,1
137,CGI-U,IQCK,compound,gene,1
137,CGI-U,RPS3,compound,gene,1
137,CGI-U,STAT3,compound,gene,1
137,CGI-U,PDK1,compound,gene,1
137,CGI-D,HPRT1,compound,gene,2
137,CGI-D,KIAA0319,compound,gene,2
137,CGI-D,CD44,compound,gene,2
137,CGI-D,MBOAT7,compound,gene,2
137,CGI-D,ANKS1A,compound,gene,2
137,CGI-D,HMG20B,compound,gene,2
137,CGI-D,KLHL28,compound,gene,2
137,CGI-D,FILIP1L,compound,gene,2
137,CGI-D,CDKN2A,compound,gene,2
178,CGI-U,DENND2D,compound,gene,1
178,CGI-U,PPP5C,compound,gene,1
178,CGI-U,CPLANE2,compound,gene,1
178,CGI-U,CHRNA6,compound,gene,1
178,CGI-U,SLC22A14,compound,gene,1
178,CGI-U,DLK1,compound,gene,1
178,CGI-U,RRP1,compound,gene,1
178,CGI-U,PIK3CG,compound,gene,1
178,CGI-U,CEPT1,compound,gene,1
178,CGI-U,RAD54B,compound,gene,1
178,CGI-U,SLC5A2,compound,gene,1
178,CGI-U,SLFN12,compound,gene,1
178,CGI-D,PLEKHB2,compound,gene,2
178,CGI-D,PRMT2,compound,gene,2
178,CGI-D,MIR22HG,compound,gene,2
178,CGI-D,OXA1L,compound,gene,2
178,CGI-D,TKT,compound,gene,2
178,CGI-D,COTL1,compound,gene,2
178,CGI-D,CEBPB,compound,gene,2
178,CGI-D,GPX1,compound,gene,2
178,CGI-D,TFPI2,compound,gene,2
178,CGI-D,RRP12,compound,gene,2
178,CGI-D,CD320,compound,gene,2
178,CGI-D,GNL3,compound,gene,2
178,CGI-D,TOB1,compound,gene,2
178,CGI-D,FAM131A,compound,gene,2
178,CGI-D,GGPS1,compound,gene,2
178,CGI-D,KLC1,compound,gene,2
