head,relation,tail,head_type,tail_type,label
119,CGI-U,NMI,compound,gene,1
119,CGI-U,NIPA2,compound,gene,1
119,CGI-U,UQCC1,compound,gene,1
119,CGI-U,CCT6A,compound,gene,1
119,CGI-U,SMARCE1,compound,gene,1
119,CGI-U,MAPK1IP1L,compound,gene,1
119,CGI-U,MSX1,compound,gene,1
119,CGI-U,LSM6,compound,gene,1
119,CGI-U,IGF1R,compound,gene,1
119,CGI-D,HDGF,compound,gene,2
119,CGI-D,CACNA2D2,compound,gene,2
119,CGI-D,TBC1D8B,compound,gene,2
119,CGI-D,LDAF1,compound,gene,2
119,CGI-D,PLEKHG6,compound,gene,2
119,CGI-D,UQCRB,compound,gene,2
119,CGI-D,PCNP,compound,gene,2
119,CGI-D,LDOC1,compound,gene,2
119,CGI-D,TM2D1,compound,gene,2
137,CGI-U,XIST,compound,gene,1
137,CGI-U,RAB11FIP2,compound,gene,1
137,CGI-U,RPL39L,compound,gene,1
137,CGI-U,CR1,compound,gene,1
137,CGI-U,CXCR4,compound,gene,1
137,CGI-U,TSKU,compound,gene,1
137,CGI-U,SPOCK1,compound,gene,1
137,CGI-U,NCBP1,compound,gene,1
137,CGI-U,CHEK2,compound,gene,1
137,CGI-U,LTF,compound,gene,1
137,CGI-D,RCAN3,compound,gene,2
137,CGI-D,CD44,compound,gene,2
137,CGI-D,KDM4B,compound,gene,2
137,CGI-D,MAPK8IP3,compound,gene,2
137,CGI-D,TRAPPC6A,compound,gene,2
137,CGI-D,LRRC14,compound,gene,2
137,CGI-D,FILIP1L,compound,gene,2
137,CGI-D,CTSD,compound,gene,2
137,CGI-D,GNAT3,compound,gene,2
178,CGI-U,PEX11A,compound,gene,1
178,CGI-U,MAL,compound,gene,1
178,CGI-U,KANSL3,compound,gene,1
178,CGI-U,SLC9A2,compound,gene,1
178,CGI-U,OXCT1,compound,gene,1
178,CGI-U,TCTA,compound,gene,1
178,CGI-U,MTA1,compound,gene,1
178,CGI-U,RRP1,compound,gene,1
178,CGI-U,AGBL5,compound,gene,1
178,CGI-D,BASP1,compound,gene,2
178,CGI-D,FBXO21,compound,gene,2
178,CGI-D,VIM,compound,gene,2
178,CGI-D,PSMB8,compound,gene,2
178,CGI-D,PSMD2,compound,gene,2
178,CGI-D,CDC20,compound,gene,2
178,CGI-D,MSMO1,compound,gene,2
178,CGI-D,TOB1,compound,gene,2
178,CGI-D,MSN,compound,gene,2
178,CGI-D,WDR45,compound,gene,2
178,CGI-D,FIS1,compound,gene,2
187,CGI-U,TSC22D3,compound,gene,1
187,CGI-U,OR7E14P,compound,gene,1
187,CGI-U,NSD3,compound,gene,1
187,CGI-U,GARRE1,compound,gene,1
187,CGI-U,MYL9,compound,gene,1
187,CGI-U,BMP3,compound,gene,1
187,CGI-U,PRLR,compound,gene,1
187,CGI-U,CACFD1,compound,gene,1
187,CGI-U,ULK4,compound,gene,1
187,CGI-U,CA1,compound,gene,1
187,CGI-D,PRPF4,compound,gene,2
187,CGI-D,LDHB,compound,gene,2
187,CGI-D,LGALS1,compound,gene,2
187,CGI-D,PSMD14,compound,gene,2
187,CGI-D,ELK3,compound,gene,2
187,CGI-D,HSF2,compound,gene,2
204,CGI-U,FAT1,compound,gene,1
204,CGI-U,DNAJB2,compound,gene,1
204,CGI-U,AMDHD2,compound,gene,1
204,CGI-U,GCGR,compound,gene,1
204,CGI-U,CNOT4,compound,gene,1
204,CGI-U,MSL2,compound,gene,1
204,CGI-D,BAMBI,compound,gene,2
204,CGI-D,ORMDL2,compound,gene,2
204,CGI-D,VPS28,compound,gene,2
204,CGI-D,MFAP4,compound,gene,2
204,CGI-D,ACAT2,compound,gene,2
204,CGI-D,EBNA1BP2,compound,gene,2
204,CGI-D,ORM1,compound,gene,2
204,CGI-D,RFX5,compound,gene,2
204,CGI-D,HMGCS1,compound,gene,2
204,CGI-D,SAP30BP,compound,gene,2
204,CGI-D,CYP3A5,compound,gene,2
204,CGI-D,ALDH3B2,compound,gene,2
204,CGI-D,SCNN1A,compound,gene,2
204,CGI-D,DNAJC12,compound,gene,2
243,CGI-U,CASP2,compound,gene,1
243,CGI-U,ALG6,compound,gene,1
243,CGI-U,ERLIN1,compound,gene,1
243,CGI-U,ATP5MC3,compound,gene,1
243,CGI-U,DCTN3,compound,gene,1
243,CGI-U,XPNPEP1,compound,gene,1
243,CGI-U,HDAC1,compound,gene,1
243,CGI-U,KATNA1,compound,gene,1
243,CGI-U,SRRM2,compound,gene,1
243,CGI-U,STX16,compound,gene,1
243,CGI-U,XPO7,compound,gene,1
243,CGI-U,CD302,compound,gene,1
243,CGI-U,EIF4A3,compound,gene,1
243,CGI-U,BLMH,compound,gene,1
243,CGI-D,GUCY2F,compound,gene,2
243,CGI-D,PIK3R2,compound,gene,2
243,CGI-D,GOLIM4,compound,gene,2
243,CGI-D,CACNG2,compound,gene,2
243,CGI-D,EDA,compound,gene,2
243,CGI-D,BTNL2,compound,gene,2
243,CGI-D,ACTA1,compound,gene,2
243,CGI-D,MT2A,compound,gene,2
243,CGI-D,GNA15,compound,gene,2
243,CGI-D,MTSS2,compound,gene,2
243,CGI-D,ABCA4,compound,gene,2
243,CGI-D,CCDC9,compound,gene,2
244,CGI-U,TLR4,compound,gene,1
244,CGI-U,DHDDS,compound,gene,1
244,CGI-U,GRM6,compound,gene,1
244,CGI-U,MAST2,compound,gene,1
244,CGI-U,DEPDC5,compound,gene,1
244,CGI-U,PRR15L,compound,gene,1
244,CGI-U,IFNA8,compound,gene,1
244,CGI-U,C11orf71,compound,gene,1
244,CGI-D,PCCB,compound,gene,2
244,CGI-D,ALDH1A1,compound,gene,2
244,CGI-D,IL6,compound,gene,2
244,CGI-D,DNAJA3,compound,gene,2
244,CGI-D,LAMA2,compound,gene,2
244,CGI-D,PCSK1N,compound,gene,2
244,CGI-D,IL12RB1,compound,gene,2
264,CGI-U,KCNK1,compound,gene,1
264,CGI-U,GRB10,compound,gene,1
264,CGI-U,CAPN1,compound,gene,1
264,CGI-U,ZSCAN18,compound,gene,1
264,CGI-U,OXSR1,compound,gene,1
264,CGI-U,FRS2,compound,gene,1
264,CGI-U,AKAP8L,compound,gene,1
264,CGI-U,KRT14,compound,gene,1
264,CGI-U,RCN3,compound,gene,1
264,CGI-U,MTF2,compound,gene,1
264,CGI-U,WDR6,compound,gene,1
264,CGI-U,BZW2,compound,gene,1
264,CGI-U,STAT3,compound,gene,1
264,CGI-U,PHKA1,compound,gene,1
264,CGI-D,MSMO1,compound,gene,2
264,CGI-D,DDX39A,compound,gene,2
264,CGI-D,SYNJ2BP,compound,gene,2
264,CGI-D,PCNA,compound,gene,2
264,CGI-D,DLST,compound,gene,2
264,CGI-D,TTC31,compound,gene,2
264,CGI-D,GAPDH,compound,gene,2
264,CGI-D,ZW10,compound,gene,2
298,CGI-U,SLC13A3,compound,gene,1
298,CGI-U,DELE1,compound,gene,1
298,CGI-U,C11orf71,compound,gene,1
298,CGI-U,NXPH3,compound,gene,1
298,CGI-U,FRMD1,compound,gene,1
298,CGI-U,REN,compound,gene,1
298,CGI-U,MELTF,compound,gene,1
298,CGI-U,ACOT11,compound,gene,1
298,CGI-D,JMJD6,compound,gene,2
298,CGI-D,DENND5A,compound,gene,2
298,CGI-D,TOP1,compound,gene,2
298,CGI-D,ZBTB11,compound,gene,2
298,CGI-D,GMFB,compound,gene,2
298,CGI-D,S100A11,compound,gene,2
298,CGI-D,NRBF2,compound,gene,2
299,CGI-U,ICAM1,compound,gene,1
299,CGI-U,DUSP1,compound,gene,1
299,CGI-U,H4C7,compound,gene,1
299,CGI-U,ABCC8,compound,gene,1
299,CGI-D,BLCAP,compound,gene,2
299,CGI-D,DAG1,compound,gene,2
299,CGI-D,ANXA7,compound,gene,2
299,CGI-D,TUBB6,compound,gene,2
299,CGI-D,FDFT1,compound,gene,2
299,CGI-D,CD320,compound,gene,2
299,CGI-D,CNDP2,compound,gene,2
299,CGI-D,LRP10,compound,gene,2
299,CGI-D,MIF,compound,gene,2
299,CGI-D,MRPS16,compound,gene,2
299,CGI-D,CD151,compound,gene,2
299,CGI-D,SNX17,compound,gene,2
305,CGI-U,CIAO3,compound,gene,1
305,CGI-U,GATA2,compound,gene,1
305,CGI-U,NRBP1,compound,gene,1
305,CGI-U,IKBKE,compound,gene,1
305,CGI-U,PPIC,compound,gene,1
305,CGI-U,FBXO21,compound,gene,1
305,CGI-U,LONP1,compound,gene,1
305,CGI-U,BEX3,compound,gene,1
305,CGI-U,ATP11B,compound,gene,1
305,CGI-U,HDAC9,compound,gene,1
305,CGI-D,CRELD2,compound,gene,2
305,CGI-D,ARHGEF12,compound,gene,2
305,CGI-D,INSL4,compound,gene,2
305,CGI-D,GZMM,compound,gene,2
305,CGI-D,CCDC30,compound,gene,2
305,CGI-D,THBD,compound,gene,2
305,CGI-D,SEC22A,compound,gene,2
338,CGI-U,RRAGA,compound,gene,1
338,CGI-U,DDX42,compound,gene,1
338,CGI-U,ADCY3,compound,gene,1
338,CGI-U,FPGS,compound,gene,1
338,CGI-U,ATG3,compound,gene,1
338,CGI-U,LAMC3,compound,gene,1
338,CGI-U,TRIP10,compound,gene,1
338,CGI-U,ABCB4,compound,gene,1
338,CGI-U,ANO1,compound,gene,1
338,CGI-U,REXO4,compound,gene,1
338,CGI-U,CNTNAP1,compound,gene,1
338,CGI-U,LOXL3,compound,gene,1
338,CGI-U,PDHB,compound,gene,1
338,CGI-D,HMGCR,compound,gene,2
338,CGI-D,TAX1BP3,compound,gene,2
338,CGI-D,SERTAD3,compound,gene,2
338,CGI-D,TFPI2,compound,gene,2
338,CGI-D,PDLIM7,compound,gene,2
338,CGI-D,DLG4,compound,gene,2
338,CGI-D,EIF2S3,compound,gene,2
338,CGI-D,P3H4,compound,gene,2
412,CGI-U,SATB1,compound,gene,1
412,CGI-U,E2F2,compound,gene,1
412,CGI-U,KCTD5,compound,gene,1
412,CGI-U,MLLT11,compound,gene,1
412,CGI-U,KMO,compound,gene,1
412,CGI-U,SLC30A3,compound,gene,1
412,CGI-D,LSM5,compound,gene,2
412,CGI-D,RBM34,compound,gene,2
412,CGI-D,DNAJC1,compound,gene,2
412,CGI-D,CHIC2,compound,gene,2
412,CGI-D,TTC19,compound,gene,2
412,CGI-D,ADD3,compound,gene,2
412,CGI-D,RPS27L,compound,gene,2
412,CGI-D,HAUS3,compound,gene,2
412,CGI-D,SCAND1,compound,gene,2
412,CGI-D,TMEM50B,compound,gene,2
412,CGI-D,PLPBP,compound,gene,2
444,CGI-U,PPARG,compound,gene,1
444,CGI-U,GHR,compound,gene,1
444,CGI-U,RAI2,compound,gene,1
444,CGI-U,UBQLN2,compound,gene,1
444,CGI-U,CC2D2B,compound,gene,1
444,CGI-U,WDR6,compound,gene,1
444,CGI-U,SHC1,compound,gene,1
444,CGI-U,INHBC,compound,gene,1
444,CGI-U,ITGB3,compound,gene,1
444,CGI-D,PGAM1,compound,gene,2
444,CGI-D,OXA1L,compound,gene,2
444,CGI-D,NIP7,compound,gene,2
444,CGI-D,PEG10,compound,gene,2
444,CGI-D,HPRT1,compound,gene,2
444,CGI-D,DLST,compound,gene,2
444,CGI-D,PHLDA3,compound,gene,2
444,CGI-D,ADH5,compound,gene,2
444,CGI-D,KRT8,compound,gene,2
444,CGI-D,POLR3C,compound,gene,2
444,CGI-D,DHRS7,compound,gene,2
444,CGI-D,PPP2R3C,compound,gene,2
444,CGI-D,SEMA4C,compound,gene,2
444,CGI-D,DPH2,compound,gene,2
450,CGI-U,CXCR4,compound,gene,1
450,CGI-U,DDX10,compound,gene,1
450,CGI-U,CDK19,compound,gene,1
