head,relation,tail,head_type,tail_type,label
119,CGI-U,BATF3,compound,gene,1
119,CGI-U,SCARA3,compound,gene,1
119,CGI-U,CTNNA2,compound,gene,1
119,CGI-U,GABPA,compound,gene,1
119,CGI-U,MSX1,compound,gene,1
119,CGI-D,BANK1,compound,gene,2
119,CGI-D,PCGF1,compound,gene,2
119,CGI-D,PHKA2,compound,gene,2
119,CGI-D,ADAT1,compound,gene,2
119,CGI-D,MFAP5,compound,gene,2
119,CGI-D,FUT1,compound,gene,2
119,CGI-D,PLEKHF1,compound,gene,2
119,CGI-D,RIPK1,compound,gene,2
119,CGI-D,RNH1,compound,gene,2
119,CGI-D,MRPS15,compound,gene,2
137,CGI-U,NFATC3,compound,gene,1
137,CGI-U,ANO1,compound,gene,1
137,CGI-U,NPAT,compound,gene,1
137,CGI-U,HES1,compound,gene,1
137,CGI-U,PPARG,compound,gene,1
137,CGI-U,CASP10,compound,gene,1
137,CGI-U,SLC25A40,compound,gene,1
137,CGI-U,EAPP,compound,gene,1
137,CGI-U,RHOA,compound,gene,1
137,CGI-U,FKBP14,compound,gene,1
137,CGI-U,SKP1,compound,gene,1
137,CGI-D,TAF5L,compound,gene,2
137,CGI-D,PLAAT1,compound,gene,2
137,CGI-D,CYP3A5,compound,gene,2
137,CGI-D,KDM4B,compound,gene,2
137,CGI-D,ANKS1A,compound,gene,2
137,CGI-D,ANGPT2,compound,gene,2
137,CGI-D,CPA2,compound,gene,2
137,CGI-D,MCM7,compound,gene,2
137,CGI-D,TES,compound,gene,2
137,CGI-D,MFAP4,compound,gene,2
137,CGI-D,PHKA2,compound,gene,2
178,CGI-U,DMBT1,compound,gene,1
178,CGI-U,GNAI1,compound,gene,1
178,CGI-U,PARVB,compound,gene,1
178,CGI-U,ZBTB6,compound,gene,1
178,CGI-U,IKBKE,compound,gene,1
178,CGI-U,ELAVL1,compound,gene,1
178,CGI-U,CCL1,compound,gene,1
178,CGI-U,DCLRE1B,compound,gene,1
178,CGI-U,RAB3D,compound,gene,1
178,CGI-U,RFX1,compound,gene,1
178,CGI-U,NOL9,compound,gene,1
178,CGI-D,EIF5,compound,gene,2
178,CGI-D,RBM34,compound,gene,2
178,CGI-D,CA2,compound,gene,2
178,CGI-D,TM9SF3,compound,gene,2
178,CGI-D,DNAJB14,compound,gene,2
178,CGI-D,DUSP4,compound,gene,2
178,CGI-D,CDK4,compound,gene,2
178,CGI-D,CD46,compound,gene,2
187,CGI-U,CDK6,compound,gene,1
187,CGI-U,PPARD,compound,gene,1
187,CGI-U,SIRT3,compound,gene,1
187,CGI-U,ZSCAN18,compound,gene,1
187,CGI-U,ZNF701,compound,gene,1
187,CGI-U,COL13A1,compound,gene,1
187,CGI-U,TANC2,compound,gene,1
187,CGI-U,LUZP2,compound,gene,1
187,CGI-U,TBXA2R,compound,gene,1
187,CGI-D,ENOPH1,compound,gene,2
187,CGI-D,ITGAE,compound,gene,2
187,CGI-D,SNRNP27,compound,gene,2
187,CGI-D,POMGNT1,compound,gene,2
187,CGI-D,NIPSNAP1,compound,gene,2
187,CGI-D,NEDD8,compound,gene,2
187,CGI-D,EXOSC8,compound,gene,2
187,CGI-D,ATP6AP2,compound,gene,2
187,CGI-D,FUBP3,compound,gene,2
187,CGI-D,ACSL1,compound,gene,2
187,CGI-D,METTL9,compound,gene,2
187,CGI-D,CSNK1A1,compound,gene,2
200,CGI-U,SATB1,compound,gene,1
200,CGI-U,RRS1,compound,gene,1
200,CGI-U,ADAM10,compound,gene,1
200,CGI-U,NME4,compound,gene,1
200,CGI-U,XIST,compound,gene,1
200,CGI-U,CCP110,compound,gene,1
200,CGI-U,USP7,compound,gene,1
200,CGI-U,TFPT,compound,gene,1
200,CGI-U,IKZF1,compound,gene,1
200,CGI-U,MMACHC,compound,gene,1
200,CGI-D,SAR1A,compound,gene,2
200,CGI-D,AGPAT4,compound,gene,2
200,CGI-D,CACNA2D2,compound,gene,2
200,CGI-D,GDF9,compound,gene,2
200,CGI-D,POLG,compound,gene,2
200,CGI-D,EGLN3,compound,gene,2
200,CGI-D,MXI1,compound,gene,2
200,CGI-D,C1orf159,compound,gene,2
200,CGI-D,NKX2-5,compound,gene,2
200,CGI-D,FAM117A,compound,gene,2
200,CGI-D,COL9A2,compound,gene,2
200,CGI-D,PRPSAP2,compound,gene,2
200,CGI-D,ICE1,compound,gene,2
200,CGI-D,ACTA1,compound,gene,2
237,CGI-U,C2CD2L,compound,gene,1
237,CGI-U,CDK5R1,compound,gene,1
