head,relation,tail,head_type,tail_type
12478,CGI-D,ARHGEF18,compound,gene
12478,CGI-D,GMNN,compound,gene
12478,CGI-D,HOXA10,compound,gene
12478,CGI-D,TUBA1B,compound,gene
12478,CGI-D,MT2A,compound,gene
12478,CGI-D,CDKN2A,compound,gene
12478,CGI-D,TMEM109,compound,gene
12478,CGI-D,DDX11,compound,gene
12478,CGI-D,MPC2,compound,gene
12478,CGI-D,YBX3,compound,gene
12478,CGI-D,NFKBIA,compound,gene
12478,CGI-D,IDH1,compound,gene
12478,CGI-D,UGDH,compound,gene
12478,CGI-D,UBE3C,compound,gene
12478,CGI-D,IRF3,compound,gene
12478,CGI-D,XPNPEP1,compound,gene
12478,CGI-D,TMC5,compound,gene
12478,CGI-D,CST3,compound,gene
12478,CGI-D,TNFAIP1,compound,gene
12478,CGI-D,TNIP2,compound,gene
12478,CGI-D,NDUFA7,compound,gene
12478,CGI-D,GTF2E2,compound,gene
12478,CGI-D,SPAG9,compound,gene
12478,CGI-D,FBXW2,compound,gene
12478,CGI-D,PLEKHA5,compound,gene
12478,CGI-D,CORO1B,compound,gene
12478,CGI-D,NIT1,compound,gene
12478,CGI-D,CCNG2,compound,gene
12478,CGI-D,PLAAT1,compound,gene
12478,CGI-D,BCAR3,compound,gene
12478,CGI-D,S100A4,compound,gene
12478,CGI-D,DHRS7,compound,gene
12478,CGI-D,COASY,compound,gene
12478,CGI-D,TLCD3A,compound,gene
12478,CGI-D,G3BP1,compound,gene
12478,CGI-D,TAF9,compound,gene
12478,CGI-D,LGALS1,compound,gene
12478,CGI-D,LAMTOR2,compound,gene
12478,CGI-D,MRPL2,compound,gene
12478,CGI-D,NOSIP,compound,gene
12478,CGI-D,MRPL34,compound,gene
12478,CGI-D,ATG101,compound,gene
12478,CGI-D,SRPX,compound,gene
12478,CGI-D,MSMO1,compound,gene
12478,CGI-D,SNU13,compound,gene
12478,CGI-D,TAF6,compound,gene
12478,CGI-D,HSD17B7,compound,gene
12478,CGI-U,MAL,compound,gene
12478,CGI-U,SESN1,compound,gene
12478,CGI-U,AXIN1,compound,gene
12478,CGI-U,SELL,compound,gene
12478,CGI-U,COQ8A,compound,gene
12478,CGI-U,TIAM1,compound,gene
12478,CGI-U,STIMATE,compound,gene
12478,CGI-U,CHMP6,compound,gene
12478,CGI-U,GATA3,compound,gene
12478,CGI-U,CADM1,compound,gene
12478,CGI-U,RRP8,compound,gene
12478,CGI-U,CCDC92,compound,gene
12478,CGI-U,RAB11FIP2,compound,gene
12478,CGI-U,CHP1,compound,gene
12478,CGI-U,UBQLN2,compound,gene
12478,CGI-U,DHX29,compound,gene
12478,CGI-U,HERC6,compound,gene
12478,CGI-U,FZD7,compound,gene
12478,CGI-U,GRM6,compound,gene
12478,CGI-U,HDGFL3,compound,gene
12478,CGI-U,ITGB3,compound,gene
12478,CGI-U,MYLK,compound,gene
12478,CGI-U,FAS,compound,gene
12478,CGI-U,ZSCAN18,compound,gene
12478,CGI-U,TCTN1,compound,gene
12478,CGI-U,ADAM10,compound,gene
12478,CGI-U,MLLT11,compound,gene
12478,CGI-U,CFLAR,compound,gene
12478,CGI-U,VAV3,compound,gene
12478,CGI-U,AGL,compound,gene
12478,CGI-U,GHR,compound,gene
12478,CGI-U,CPLANE2,compound,gene
12478,CGI-U,TSEN2,compound,gene
12478,CGI-U,PACSIN3,compound,gene
12478,CGI-U,IKBKE,compound,gene
12478,CGI-U,NFKB2,compound,gene
12478,CGI-U,GLI2,compound,gene
12478,CGI-U,KIAA0753,compound,gene
12478,CGI-U,RNF144A,compound,gene
12478,CGI-U,PPBP,compound,gene
12478,CGI-U,KIF5C,compound,gene
12478,CGI-U,ERAP2,compound,gene
12478,CGI-U,MSRA,compound,gene
12478,CGI-U,INCENP,compound,gene
12478,CGI-U,GPX3,compound,gene
12478,CGI-U,PRKCH,compound,gene
12478,CGI-U,UBASH3A,compound,gene
12478,CGI-U,CDK6,compound,gene
12478,CGI-U,PRKCB,compound,gene
12478,CGI-U,PIGZ,compound,gene
12478,CGI-U,CR1,compound,gene
12478,CGI-U,HK1,compound,gene
12478,CGI-U,TCFL5,compound,gene
12478,CGI-U,PRKCQ,compound,gene
12478,CGI-U,USP6NL,compound,gene
12478,CGI-U,MBNL1,compound,gene
12478,CGI-U,SERPINA3,compound,gene
12478,CGI-U,NNT,compound,gene
12478,CGI-U,MBTPS1,compound,gene
12478,CGI-U,PCDHA3,compound,gene
12478,CGI-U,FURIN,compound,gene
12478,CGI-U,CENPN,compound,gene
12478,CGI-U,CCP110,compound,gene
12478,CGI-U,OPA3,compound,gene
12478,CGI-U,HLA-DMA,compound,gene
12478,CGI-U,SYNE2,compound,gene
12478,CGI-U,TBXA2R,compound,gene
12478,CGI-U,LINC01278,compound,gene
12478,CGI-U,SLC1A4,compound,gene
12478,CGI-U,KIT,compound,gene
12478,CGI-U,LILRB1,compound,gene
12478,CGI-U,MAP2K5,compound,gene
12478,CGI-U,GOLM1,compound,gene
12478,CGI-U,RSU1,compound,gene
12478,CGI-U,TNFRSF1B,compound,gene
12478,CGI-U,FAM50B,compound,gene
12478,CGI-U,KLHL9,compound,gene
12478,CGI-U,PDLIM5,compound,gene
12478,CGI-U,KRTAP1-1,compound,gene
12478,CGI-U,SKI,compound,gene
12478,CGI-U,PRUNE1,compound,gene
12478,CGI-U,STAP2,compound,gene
12478,CGI-U,PLCB3,compound,gene
12478,CGI-U,PECR,compound,gene
12478,CGI-U,FAM168B,compound,gene
12478,CGI-U,MAP3K4,compound,gene
